lat,lng
37.517436,126.949121
37.517017,126.948633
37.516606,126.948145
37.516187,126.94764
37.515771,126.947152
37.515389,126.946615
37.515173,126.946208
37.514917,126.945557
37.514746,126.944857
37.514644,126.944157
37.514559,126.943441
37.514486,126.942725
37.514449,126.942253
37.514364,126.941553
37.514286,126.940837
37.514185,126.94012
37.514087,126.939421
37.513993,126.938704
37.513944,126.938232
37.5139,126.937516
37.513932,126.9368
37.514038,126.936117
37.514176,126.935417
37.514327,126.934749
37.514417,126.93431
37.514482,126.93361
37.514478,126.932894
37.514388,126.932178
37.514242,126.931494
37.514071,126.930794
37.513953,126.930339
37.513786,126.929655
37.513627,126.928955
37.513253,126.927246
37.513143,126.926481
37.513127,126.925765
37.513159,126.925277
37.513265,126.924577
37.513444,126.923893
37.513696,126.923242
37.514001,126.922607
37.51438,126.922038
37.514644,126.92168
37.515055,126.921159
37.515458,126.920638
37.515824,126.920068
37.516162,126.919482
37.516345,126.919076
37.516577,126.918441
37.516764,126.917773
37.516919,126.91709
37.517045,126.916439
37.517041,126.915723
37.517025,126.915267
37.516976,126.914567
37.516919,126.913867
37.516866,126.913167
37.516813,126.912467
37.516777,126.911995
37.516703,126.911296
37.516553,126.910612
37.516345,126.909961
37.516085,126.909342
37.515837,126.908757
37.515678,126.908382
37.515417,126.907813
37.51484,126.906901
37.514734,126.906331
37.514429,126.905664
37.514246,126.905225
37.513957,126.904557
37.51368,126.903906
37.513403,126.903206
37.513135,126.902507
37.512882,126.901823
37.51272,126.901367
37.512467,126.900684
37.512219,126.9
37.511963,126.899333
37.511715,126.898649
37.511458,126.897965
37.511275,126.897526
37.51099,126.896875
37.51071,126.896224
37.510429,126.895589
37.510148,126.894954
37.509884,126.894303
37.509696,126.893864
37.50942,126.893229
37.509159,126.892578
37.508887,126.891927
37.508606,126.891276
37.508301,126.890592
37.508073,126.890153
37.507715,126.889453
37.507324,126.888737
37.506889,126.888037
37.506458,126.887288
37.506152,126.886784
37.505668,126.886019
37.505155,126.885286
37.504639,126.884505
37.504069,126.883805
37.503678,126.88335
37.503072,126.882682
37.502482,126.882015
37.501876,126.881364
37.501225,126.880778
37.500529,126.88029
37.500037,126.880046
37.499268,126.879769
37.498486,126.87959
37.497693,126.879525
37.496899,126.879557
37.496379,126.87959
37.495605,126.879671
37.494816,126.879736
37.494027,126.879785
37.493233,126.879834
37.492452,126.879899
37.491927,126.879948
37.491146,126.879997
37.490369,126.880062
37.489596,126.880111
37.488818,126.880176
37.488049,126.880225
37.487545,126.88029
37.486796,126.880485
37.486064,126.880762
37.485343,126.881071
37.484627,126.881396
37.484151,126.881608
37.483435,126.881917
37.482719,126.882243
37.481991,126.882568
37.481246,126.882894
37.480477,126.883236
37.479956,126.883447
37.47915,126.883805
37.478324,126.88418
37.477474,126.884538
37.476607,126.884928
37.476017,126.885205
37.47511,126.885596
37.474186,126.885986
37.473242,126.88641
37.47229,126.886833
37.471342,126.887256
37.470711,126.887533
37.469767,126.887956
37.468827,126.888379
37.467891,126.888786
37.466951,126.889209
37.466024,126.889632
37.465397,126.889893
37.464478,126.890299
37.463562,126.89069
37.462646,126.891097
37.461731,126.891455
37.461129,126.891699
37.460225,126.892074
37.459334,126.89248
37.458443,126.892871
37.45756,126.893278
37.456677,126.893669
37.456087,126.893929
37.455216,126.89432
37.454346,126.894694
37.453487,126.895085
37.452665,126.895443
37.451868,126.895801
37.451359,126.896029
37.450614,126.89637
37.449866,126.896712
37.449113,126.897038
37.44836,126.897363
37.447804,126.897575
37.444398,126.89857
37.442456,126.898634
37.440497,126.897861
37.43726,126.896102
37.433102,126.893784
37.428655,126.891403
37.425247,126.889514
37.421447,126.887476
37.417527,126.885287
