lat,lng,altitude
37.51274976,126.9011272,0
37.51274976,126.9011272,0
37.51273319,126.9010829,0
37.51256115,126.9006125,0
37.51236606,126.9000969,0
37.51233021,126.9,0
37.51214296,126.899494,0
37.51205705,126.899264,0
37.51205705,126.899264,0
37.5119495,126.8989761,0
37.51176012,126.8984665,0
37.5115629,126.8979627,0
37.51135782,126.8974894,0
37.51112449,126.8969589,0
37.51089555,126.8964412,0
37.51065592,126.8959015,0
37.51043086,126.8953996,0
37.51017345,126.8948215,0
37.50993092,126.8942797,0
37.50969001,126.893725,0
37.5094386,126.8931341,0
37.50915762,126.8924696,0
37.50898131,126.8920516,0
37.50888175,126.89182,0
37.50873404,126.8914801,0
37.50865721,126.891304,0
37.50847654,126.8908973,0
37.50826168,126.8904491,0
37.50806794,126.8900618,0
37.50788119,126.889718,0
37.50770726,126.8894113,0
37.50755746,126.8891525,0
37.50735025,126.8888246,0
37.50733225,126.8887953,0
37.50717486,126.8885393,0
37.50695512,126.8881786,0
37.50674765,126.8878465,0
37.50657626,126.8875728,0
37.50640049,126.8872839,0
37.5062383,126.8870238,0
37.50598838,126.8866155,0
37.50572322,126.8861882,0
37.50558151,126.8859607,0
37.50540806,126.8856726,0
37.50522609,126.8853831,0
37.50508006,126.8851447,0
37.50492012,126.8848932,0
37.50479687,126.8847014,0
37.50468102,126.8845273,0
37.50455493,126.8843462,0
37.50441944,126.8841609,0
37.5042393,126.88393,0
37.50415381,126.8838274,0
37.50404397,126.8836973,0
37.50389852,126.8835384,0
37.50375575,126.8833747,0
37.50360332,126.8832085,0
37.5034432,126.8830342,0
37.50326202,126.8828393,0
37.50311776,126.8826825,0
37.5029653,126.8825146,0
37.50281572,126.8823487,0
37.50264777,126.882159,0
37.5024712,126.8819722,0
37.50232599,126.8818131,0
37.50230301,126.8817887,0
37.50220763,126.8816875,0
37.50214881,126.8816251,0
37.50199999,126.8814757,0
37.50187181,126.8813503,0
37.50172478,126.8812114,0
37.50158275,126.8810849,0
37.50142783,126.8809542,0
37.50123993,126.8808062,0
37.50107422,126.8806789,0
37.5009282,126.8805734,0
37.50076616,126.8804646,0
37.50059144,126.8803558,0
37.5004343,126.8802661,0
37.50027991,126.8801782,0
37.5001978,126.88014,0
37.50000043,126.8800522,0
37.5000004,126.8800521,0
37.50000001,126.880052,0
37.50000001,126.880052,0
37.49988354,126.8800001,0
37.49953394,126.879858,0
37.49933174,126.8797834,0
37.49909485,126.8797118,0
37.49887688,126.8796528,0
37.49866315,126.8796037,0
37.49840077,126.8795585,0
37.4981137,126.8795188,0
37.49790691,126.8795157,0
37.49765606,126.879498,0
37.49735597,126.8794941,0
37.49697296,126.8794865,0
37.49661037,126.879482,0
