lat,lng
37.520036,126.952042
37.520204,126.952266
37.520374,126.952446
37.520552,126.952636
37.52074,126.952847
37.520931,126.953059
37.521117,126.95327
37.521304,126.95348
37.521488,126.953691
37.521673,126.953897
37.521857,126.954104
37.522041,126.954308
37.522222,126.954513
37.522312,126.954614
37.522483,126.954807
37.522646,126.954991
37.522802,126.955166
37.522953,126.955331
37.5231,126.955496
37.523249,126.955663
37.523398,126.955831
37.523548,126.956
37.523701,126.956169
37.523854,126.95634
37.524009,126.956515
37.524162,126.956694
37.524238,126.956786
37.524393,126.95697
37.524549,126.957158
37.524704,126.957352
37.524861,126.957545
37.525006,126.957742
37.525161,126.957949
37.525314,126.958164
37.525469,126.958382
37.525625,126.958602
37.525779,126.958824
37.525936,126.959046
37.526092,126.959268
37.526249,126.959491
37.526409,126.959711
37.526574,126.959927
37.52666,126.960031
37.526834,126.960239
37.527006,126.960443
37.527182,126.960643
37.527359,126.960832
37.52754,126.961021
37.527717,126.961219
37.527895,126.961416
37.528072,126.961613
37.52825,126.961809
37.528425,126.962006
37.528601,126.962202
37.528774,126.962402
37.528943,126.962605
37.529104,126.962811
37.52922,126.962928
37.52926,126.962984
37.529408,126.963136
37.529545,126.963242
37.529692,126.963353
37.529817,126.963505
37.529967,126.963659
37.530059,126.963776
37.530101,126.96388
37.530194,126.96392
37.530311,126.964024
37.530438,126.96416
37.530547,126.964297
37.530625,126.965092
37.531304,126.965973
37.531446,126.966063
37.531598,126.966274
37.531755,126.966493
37.531917,126.966707
37.532078,126.966918
37.532227,126.967132
37.532381,126.967342
37.532535,126.967549
37.532689,126.96775
37.53284,126.967955
37.53299,126.96816
37.533136,126.968364
37.533281,126.968565
37.533426,126.968763
37.533497,126.968861
37.533638,126.969054
37.533776,126.969241
37.533919,126.969417
37.534042,126.969573
37.534196,126.969719
37.534349,126.969862
37.534505,126.969999
37.534662,126.970125
37.534819,126.970238
37.534978,126.970341
37.535135,126.970436
37.535214,126.97048
37.535372,126.970558
37.535525,126.970628
37.535676,126.970691
37.535827,126.970742
37.535977,126.970783
37.536124,126.970821
37.536267,126.970852
37.536411,126.970878
37.536551,126.9709
37.536688,126.970923
37.536814,126.970923
37.536944,126.970938
37.537069,126.970953
37.537132,126.970953
37.537261,126.970956
37.53738,126.970969
37.537489,126.970979
37.537598,126.970982
37.537709,126.970987
37.537815,126.970981
37.537922,126.970977
37.538023,126.970982
37.538122,126.970995
37.538213,126.971006
37.53829,126.970978
37.538374,126.97098
37.538458,126.970984
37.538497,126.970984
37.538579,126.970981
37.53866,126.970975
37.538735,126.970969
37.538794,126.970928
37.538865,126.970927
37.538932,126.970933
37.539017,126.970924
37.539099,126.970922
37.539188,126.970912
37.539264,126.97092
37.539365,126.970912
37.539467,126.970906
37.539566,126.970887
37.539665,126.970874
37.539751,126.970845
37.539782,126.97081
37.539863,126.970773
37.539957,126.970764
37.540048,126.970757
37.540137,126.970749
37.540224,126.970636
37.540287,126.970505
37.54037,126.970454
37.540474,126.970386
37.540581,126.970349
37.540689,126.970314
37.540784,126.970254
37.54088,126.970194
37.540988,126.970147
37.541129,126.970118
37.54128,126.970068
37.541424,126.970049
37.541493,126.970057
37.541644,126.970058
37.541813,126.970054
37.541987,126.970064
37.542172,126.970078
37.542368,126.970095
37.542561,126.970111
37.542769,126.97013
37.542983,126.970141
37.543199,126.970171
37.543426,126.970189
37.543656,126.970204
37.54389,126.970224
37.544123,126.970238
37.54435,126.970251
37.544573,126.970275
37.544681,126.970287
37.544898,126.970307
37.545099,126.970331
37.545292,126.970362
37.545487,126.970393
37.545682,126.970426
37.545876,126.970448
37.546071,126.970465
37.546261,126.970487
37.546448,126.970504
37.546633,126.97053
37.546818,126.970545
37.547003,126.970568
37.547185,126.970589
37.547367,126.97061
37.547551,126.970613
37.547729,126.970616
37.547818,126.970624
37.547996,126.97063
37.548172,126.970624
37.548346,126.970614
37.548526,126.970587
37.548698,126.970559
37.548868,126.970527
37.549035,126.970492
37.549203,126.970456
37.549371,126.970424
37.549539,126.970394
