kml_lat,kml_lng,matched_lat,matched_lng,distance,link_id,railway_name
37.532798,126.968682,37.532965909546874,126.96872386512526,0.0001730500061952588,TRN210000000052O5,지하철1호선
37.532324,126.9680321,37.53236001787652,126.96798156848506,6.205418141735001e-05,TRN210000000052O5,지하철1호선
37.531339,126.9666991,37.53142971182721,126.9666137353571,0.0001245622649611731,TRN210000000052M3,지하철1호선
37.5308919,126.9660831,37.53098976340822,126.96604358256519,0.00010554086565422976,TRN210000000052M3,지하철1호선
37.530081,126.964974,37.52988179060358,126.96451481522199,0.0005005347580113526,TRN210000000052GX,지하철1호선
37.5298709,126.964694,37.52988179060358,126.96451481522199,0.00017951543085564572,TRN210000000052GX,지하철1호선
37.529753,126.964549,37.52988179060358,126.96451481522199,0.0001332502105785507,TRN210000000052GX,지하철1호선
37.5296668,126.9644439,37.52988179060358,126.96451481522199,0.0002263844701763253,TRN210000000052GX,지하철1호선
37.529643,126.9644151,37.52988179060358,126.96451481522199,0.00025877418313289955,TRN210000000052GX,지하철1호선
37.52968,126.9644261,37.52988179060358,126.96451481522199,0.00022043102845901102,TRN210000000052GX,지하철1호선
37.529488,126.9641909,37.52988179060358,126.96451481522199,0.000509894215011005,TRN210000000052GX,지하철1호선
37.529251,126.963843,37.52893750821506,126.96321196213445,0.0007046175466020962,TRN210000000052GX,지하철1호선
37.52874,126.9631491,37.52877408599558,126.96301331921352,0.00013999384654902648,TRN210000000052GX,지하철1호선
37.527883,126.9619729,37.528158193949295,126.96221898731861,0.00036917567376980136,TRN210000000052GX,지하철1호선
37.527318,126.9612,37.52739952618909,126.96133260631493,0.00015566295084166272,TRN210000000052AR,"경부선,1호선"
37.5268249,126.960528,37.52698823642861,126.96071065374106,0.0002450330141724736,TRN210000000052AR,"경부선,1호선"
37.5261681,126.9595869,37.526427251470245,126.95989574645131,0.0004031694619062489,TRN210000000052AR,"경부선,1호선"
37.525849,126.9591609,37.525844481297135,126.95906170593075,9.929693877446979e-05,TRN210000000052AR,"경부선,1호선"
