lat,lng,altitude,
37.51520144,126.9210135,0,
37.5147551,126.9215694,0,
37.51453292,126.921865,0,
37.5143638,126.9220811,0,
37.51425791,126.9222347,0,
37.5141561,126.9223905,0,
37.51406422,126.9225385,0,
37.5139789,126.9226851,0,
37.5139063,126.9228143,0,
37.51381745,126.9229873,0,
37.51373034,126.9231663,0,
37.51365345,126.9233489,0,
37.51358359,126.9235183,0,
37.51353099,126.923655,0,
37.51346837,126.9238327,0,
37.51341751,126.9240017,0,
37.51337197,126.9241477,0,
37.51332901,126.9243138,0,
37.51329989,126.9244369,0,
37.51326495,126.9246031,0,
37.51323124,126.9247909,0,
37.51320482,126.9249591,0,
37.51320392,126.925,0,
37.51319906,126.925108,0,
37.51319292,126.9252552,0,
37.51318386,126.9253886,0,
37.51317123,126.9255331,0,
37.51316647,126.9257344,0,
37.51315271,126.92593,0,
37.5131491,126.926087,0,
37.51314281,126.9263174,0,
37.51313561,126.9265464,0,
37.51313359,126.9267601,0,
37.51312927,126.9269558,0,
37.51312842,126.9270466,0,
37.51364688,126.9289552,0,
37.51373179,126.9292962,0,
37.51385447,126.9297758,0,
37.51401554,126.9303975,0,
37.51414927,126.9309143,0,
37.51421499,126.9311757,0,
37.51427305,126.9314111,0,
37.51428999,126.9314798,0,
37.51433185,126.9316496,0,
37.51442772,126.9321128,0,
37.51449031,126.9325362,0,
37.51451704,126.9328076,0,
37.51452811,126.9331013,0,
37.51452451,126.9334258,0,
37.5144923,126.9338237,0,
37.51443972,126.9342112,0,
37.5143638,126.9346034,0,
37.51425917,126.935055,0,
37.51417147,126.9354851,0,
37.51404394,126.9360762,0,
37.51396985,126.9365285,0,
37.5139241,126.9369142,0,
37.51389846,126.937318,0,
37.51389838,126.9376816,0,
37.51392364,126.9379144,0,
37.5139769,126.938445,0,
37.51405683,126.9389881,0,
37.51410979,126.9393067,0,
37.51410979,126.9393067,0,
37.51417339,126.9396261,0,
37.51423488,126.939892,0,
37.51428481,126.9400897,0,
37.51433267,126.9403014,0,
37.51437331,126.940495,0,
37.51441417,126.9407621,0,
37.51441417,126.9407621,0,
37.51445632,126.9410849,0,
37.51449983,126.9414425,0,
37.51454421,126.9418974,0,
37.51459261,126.9423097,0,
37.51461166,126.942573,0,
37.51461787,126.942857,0,
37.51461937,126.9431195,0,
37.51462197,126.9433943,0,
